Device ID,Time [UTC+00:00],PM1 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM1 1-Hour Mean Mass Concentration Raw [ug/m3],PM1 1-Hour Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM2.5 1-Hour Mean Mass Concentration Raw [ug/m3],PM2.5 1-Hour Mean Number Concentration [#/cm3],PM2.5 NowCast Mass Concentration [ug/m3],PM2.5 NowCast AQI (US EPA),PM2.5 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM2.5 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM2.5 24-Hour Rolling Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean AQI (WA DWER),PM10 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM10 1-Hour Mean Mass Concentration Raw [ug/m3],PM10 1-Hour Mean Number Concentration [#/cm3],PM10 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM10 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM10 24-Hour Rolling Mean Number Concentration [#/cm3],PM10 1-Hour Mean AQI (WA DWER),NO2 1-Hour Mean Concentration Calibrated [ppb],NO2 1-Hour Mean Concentration Raw [ppb],NO2 1-Hour Mean AQI (US EPA),NO2 1-Hour Mean AQI (WA DWER),O3 1-Hour Mean Concentration Raw [ppb],Temperature Internal 1-Hour Mean [degC],Rel. Humidity Internal 1-Hour Mean [%],Wind Speed 1-Hour Mean [m/s],Wind Direction 1-Hour Mean [degrees],latitude,longitude
A5H2PCSZ,2022-11-07T10:00:00.000Z,,31.06,67.86,,54.99,73.08,,140,,33.3,37.42,55,,71.32,74,,37.84,37.73,71,,5.42,5,5,,24.11,46.06,,,44.797027,20.528377
AY1R2WBZ,2022-11-07T10:00:00.000Z,,52.51,114.33,,91.78,121.41,,168,,84.07,105.66,92,,121.22,122.78,,104.61,106.76,121,,14.68,14,15,,20.42,54.98,,,43.0671684,22.4085712
A0VTV4M9,2022-11-07T10:00:00.000Z,,,,,,,,,,62.36,52.3,,,,,,89.47,53.09,,,,,,,,,,,44.010408,20.91121
A3QK8XR1,2022-11-07T10:00:00.000Z,,28.65,54.24,,49.14,58.08,,135,,39.05,43.22,49,,72.92,58.92,,57.76,43.8,73,,8.67,8,9,,21.83,51.61,,,44.010408,20.91121
AHVMMMWN,2022-11-07T10:00:00.000Z,,29.09,47.84,,50.91,51.14,,158,,120.8,124.71,51,,64.29,51.62,,157.73,126.17,64,,-3.22,,,,16.18,68.26,,,43.0671684,22.4085712
A2027ZB9,2022-11-07T10:00:00.000Z,,42.31,67.73,,83.35,73.05,,162,,65.68,49.8,83,,121.17,74.46,,91.51,50.7,121,,13.79,13,14,,13.69,82,,,44.797027,20.528377
A9YQLGCC,2022-11-07T10:00:00.000Z,,22.75,31.84,,40.83,34.17,,129,,47.9,42.32,41,,54.66,34.6,,64.26,42.78,55,,4.85,5,5,,14.94,71.29,,,42.5366089,20.2955676
AC8QFXSV,2022-11-07T10:00:00.000Z,,1.88,4.59,,4.85,4.8,,22,,7.52,6.56,5,,6.5,4.86,,10.57,6.64,6,,5.76,5,6,,12.07,72.35,,,43.27359823,20.00230503
AQVRLJYL,2022-11-07T10:00:00.000Z,,,,,,,,,,,,,,,,,,,,,6.45,6,6,,14.25,81.16,,,44.664514,20.928384
ABZ0QQ65,2022-11-07T10:00:00.000Z,,20.61,37.41,,35.04,39.86,,94,,32.25,35.66,35,,43.96,40.2,,38.87,35.96,44,,6.8,6,7,,25.73,40.22,,,44.664514,20.928384
RNVM05M6,2022-11-07T10:00:00.000Z,,,,,,,,,,,,,,,,,,,,,11.35,11,11,2.77,,,,,44.796959,20.475288
RQMLY1RN,2022-11-07T10:00:00.000Z,,,,,,,,,,,,,,,,,,,,,13.56,13,14,,,,,,44.011573,20.925031
RH91V0ZQ,2022-11-07T10:00:00.000Z,,,,,,,,,,,,,,,,,,,,,4.54,4,5,,,,,,44.652336,20.931675
RQCHFQWB,2022-11-07T10:00:00.000Z,,,,,38.03,,,97,,25.04,,38,,44.55,,,26.73,,45,,8.46,8,8,,,,,,44.798746,20.450184
RV7PD1M1,2022-11-07T10:00:00.000Z,,,,,29.95,,,87,,25.16,,30,,33.59,,,26.02,,34,,,,,,,,,,44.664084,20.926729
RMQF0HMT,2022-11-07T10:00:00.000Z,,,,,43.71,,,112,,34.51,,44,,55.84,,,42.6,,56,,8.09,8,8,2.41,,,,,44.82112,20.459113
A5H2PCSZ,2022-11-07T09:00:00.000Z,,28.79,60.31,,48.52,64.52,,132,,32.01,35.47,49,,63.01,65.17,,35.94,35.75,63,,4.62,4,5,,23.79,45.55,,,44.797027,20.528377
A0VTV4M9,2022-11-07T09:00:00.000Z,,35.57,51.43,,64,55.25,,,,62.36,52.3,64,,93.51,56.2,,89.47,53.09,94,,10.05,9,10,,13.34,79.91,,,44.010408,20.91121
AQVRLJYL,2022-11-07T09:00:00.000Z,,,,,,,,,,,,,,,,,,,,,5.67,5,6,,13.6,82.46,,,44.664514,20.928384
ABZ0QQ65,2022-11-07T09:00:00.000Z,,19.8,35.86,,34.46,38.11,,93,,31.98,35.32,34,,43.17,38.48,,38.38,35.61,43,,6.02,6,6,,25.53,40.36,,,44.664514,20.928384
AY1R2WBZ,2022-11-07T09:00:00.000Z,,67.55,140.4,,121.44,150.12,,167,,83.42,104.74,121,,170.93,152.01,,103.34,105.82,171,,16.94,16,17,,20.08,54.82,,,43.0671684,22.4085712
A3QK8XR1,2022-11-07T09:00:00.000Z,,34.09,72.09,,59.39,77.16,,136,,37.81,41.7,59,,85.43,78.18,,55.82,42.25,85,,7.18,7,7,,21.97,50.35,,,44.010408,20.91121
AC8QFXSV,2022-11-07T09:00:00.000Z,,3.47,6.57,,7.36,6.82,,23,,7.41,6.46,7,,10.23,6.89,,10.43,6.54,10,,6.53,6,7,,10.64,74.93,,,43.27359823,20.00230503
AHVMMMWN,2022-11-07T09:00:00.000Z,,47.15,87.41,,87.8,93.42,,167,,123.96,128.4,88,,105.69,94.33,,161.61,129.91,106,,4.23,4,4,,13.37,78.11,,,43.0671684,22.4085712
A9YQLGCC,2022-11-07T09:00:00.000Z,,23.62,32.16,,42.29,34.53,,136,,47.19,41.82,42,,56.78,34.97,,63.17,42.27,57,,4.75,4,5,,14.29,73.36,,,42.5366089,20.2955676
A2027ZB9,2022-11-07T09:00:00.000Z,,46.9,80.15,,87.93,85.52,,162,,64.94,48.83,88,,117.52,86.79,,90.31,49.71,118,,13.92,13,14,,13.51,82.34,,,44.797027,20.528377
RQCHFQWB,2022-11-07T09:00:00.000Z,,,,,34.42,,,88,,24.55,,34,,42.35,,,26.01,,42,,7.96,8,8,,,,,,44.798746,20.450184
RV7PD1M1,2022-11-07T09:00:00.000Z,,,,,28.8,,,85,,25,,29,,32.19,,,25.74,,32,,,,,,,,,,44.664084,20.926729
RNVM05M6,2022-11-07T09:00:00.000Z,,,,,,,,,,,,,,,,,,,,,12.82,12,13,2.71,,,,,44.796959,20.475288
RMQF0HMT,2022-11-07T09:00:00.000Z,,,,,39.85,,,102,,33.84,,40,,50.8,,,41.95,,51,,7.25,7,7,2.54,,,,,44.82112,20.459113
RH91V0ZQ,2022-11-07T09:00:00.000Z,,,,,,,,,,,,,,,,,,,,,3.92,4,4,,,,,,44.652336,20.931675
RQMLY1RN,2022-11-07T09:00:00.000Z,,,,,,,,,,,,,,,,,,,,,9.58,9,10,,,,,,44.011573,20.925031
A5H2PCSZ,2022-11-07T08:00:00.000Z,,28.41,60.56,,50.3,64.72,,130,,30.9,33.83,50,,62.73,65.39,,34.31,34.09,63,,3.52,3,4,,23.89,44.83,,,44.797027,20.528377
AQVRLJYL,2022-11-07T08:00:00.000Z,,,,,,,,,,,,,,,,,,,,,7.04,7,7,,13.22,83.65,,,44.664514,20.928384
A9YQLGCC,2022-11-07T08:00:00.000Z,,27.5,37.29,,48.91,40.1,,142,,46.71,41.48,49,,68.14,40.65,,62.35,41.91,68,,6.87,6,7,,13.17,77.8,,,42.5366089,20.2955676
A2027ZB9,2022-11-07T08:00:00.000Z,,37,53.44,,70.61,57.43,,157,,64.11,47.42,71,,98.25,58.45,,89.37,48.28,98,,13.44,13,13,,13.11,82.6,,,44.797027,20.528377
A0VTV4M9,2022-11-07T08:00:00.000Z,,,,,,,,,,58.69,47.99,,,,,,82.5,48.68,,,,,,,,,,,44.010408,20.91121
ABZ0QQ65,2022-11-07T08:00:00.000Z,,19.48,34.6,,33.21,36.83,,93,,31.78,35.08,33,,40.68,37.14,,38,35.36,41,,5.76,5,6,,25.29,40.61,,,44.664514,20.928384
AHVMMMWN,2022-11-07T08:00:00.000Z,,45.03,80.41,,83.68,86,,166,,125.56,130.17,84,,107.57,86.98,,163.83,131.7,108,,8.76,8,9,,10.94,84.76,,,43.0671684,22.4085712
AY1R2WBZ,2022-11-07T08:00:00.000Z,,30.58,55.38,,51.04,58.74,,141,,81.03,101.93,51,,65.68,59.32,,99.61,102.96,66,,11.22,11,11,,19.78,52.75,,,43.0671684,22.4085712
AC8QFXSV,2022-11-07T08:00:00.000Z,,0.94,3.61,,3.78,3.76,,15,,7.14,6.23,4,,5.51,3.82,,10.07,6.31,6,,9.91,9,10,,9.05,78.07,,,43.27359823,20.00230503
A3QK8XR1,2022-11-07T08:00:00.000Z,,27.1,50.69,,47.33,54.31,,116,,35.81,39.08,47,,71.01,55.17,,52.95,39.6,71,,8.22,8,8,,21.99,51.11,,,44.010408,20.91121
RMQF0HMT,2022-11-07T08:00:00.000Z,,,,,39.04,,,95,,33.34,,39,,49.28,,,41.48,,49,,7.16,7,7,2.56,,,,,44.82112,20.459113
RH91V0ZQ,2022-11-07T08:00:00.000Z,,,,,,,,,,,,,,,,,,,,,4.18,4,4,,,,,,44.652336,20.931675
RQCHFQWB,2022-11-07T08:00:00.000Z,,,,,29.58,,,80,,24.02,,30,,36.28,,,25.18,,36,,8.84,8,9,,,,,,44.798746,20.450184
RQMLY1RN,2022-11-07T08:00:00.000Z,,,,,,,,,,,,,,,,,,,,,9.27,9,9,,,,,,44.011573,20.925031
RV7PD1M1,2022-11-07T08:00:00.000Z,,,,,27.75,,,85,,24.79,,28,,29,,,25.41,,29,,,,,,,,,,44.664084,20.926729
RNVM05M6,2022-11-07T08:00:00.000Z,,,,,,,,,,,,,,,,,,,,,11.17,11,11,2.55,,,,,44.796959,20.475288
A5H2PCSZ,2022-11-07T07:00:00.000Z,,37.63,80.45,,59.97,85.42,,123,,29.74,32.17,60,,70.12,85.99,,32.71,32.4,70,,3.71,4,4,,24.1,44.79,,,44.797027,20.528377
A9YQLGCC,2022-11-07T07:00:00.000Z,,30.89,44.61,,55.74,47.92,,144,,46.41,41.33,56,,78.73,48.57,,61.78,41.75,79,,8.93,8,9,,11.99,82.59,,,42.5366089,20.2955676
AC8QFXSV,2022-11-07T07:00:00.000Z,,0.75,3.06,,3.57,3.18,,15,,7.06,6.16,4,,5.04,3.24,,9.95,6.24,5,,15.04,14,15,,7.48,82.77,,,43.27359823,20.00230503
A3QK8XR1,2022-11-07T07:00:00.000Z,,23.98,42,,42.81,45.02,,111,,34.31,37.37,43,,66.23,45.76,,50.65,37.85,66,,6.94,7,7,,21.84,49.85,,,44.010408,20.91121
AQVRLJYL,2022-11-07T07:00:00.000Z,,,,,,,,,,,,,,,,,,,,,6.71,6,7,,12.86,84.04,,,44.664514,20.928384
A2027ZB9,2022-11-07T07:00:00.000Z,,39.91,59.32,,72.96,63.53,,156,,63.88,47.1,73,,103.42,64.54,,89.02,47.96,103,,15.22,14,15,,12.68,83.48,,,44.797027,20.528377
AY1R2WBZ,2022-11-07T07:00:00.000Z,,30.59,54.05,,50.67,57.23,,142,,81.33,102.53,51,,66.23,57.78,,100.04,103.57,66,,11.21,11,11,,19.16,52.39,,,43.0671684,22.4085712
A0VTV4M9,2022-11-07T07:00:00.000Z,,,,,,,,,,58.69,47.99,,,,,,82.5,48.68,,,,,,,,,,,44.010408,20.91121
AHVMMMWN,2022-11-07T07:00:00.000Z,,47.1,82.58,,87.64,88.2,,166,,126.27,130.81,88,,112.45,89.24,,164.71,132.36,112,,9.28,9,9,,10.04,86.28,,,43.0671684,22.4085712
ABZ0QQ65,2022-11-07T07:00:00.000Z,,18.82,33.2,,31.1,35.21,,92,,31.62,34.9,31,,37.46,35.48,,37.73,35.18,37,,4.18,4,4,,25.17,40.66,,,44.664514,20.928384
RNVM05M6,2022-11-07T07:00:00.000Z,,,,,,,,,,,,,,,,,,,,,8.47,8,8,2.38,,,,,44.796959,20.475288
RV7PD1M1,2022-11-07T07:00:00.000Z,,,,,33.56,,,86,,24.6,,34,,33.78,,,25.17,,34,,,,,,,,,,44.664084,20.926729
RMQF0HMT,2022-11-07T07:00:00.000Z,,,,,32.24,,,83,,32.85,,32,,42.95,,,41.06,,43,,7.34,7,7,1.93,,,,,44.82112,20.459113
RQCHFQWB,2022-11-07T07:00:00.000Z,,,,,26.62,,,76,,23.74,,27,,29.45,,,24.67,,29,,10.04,9,10,,,,,,44.798746,20.450184
RH91V0ZQ,2022-11-07T07:00:00.000Z,,,,,,,,,,,,,,,,,,,,,4.55,4,5,,,,,,44.652336,20.931675
RQMLY1RN,2022-11-07T07:00:00.000Z,,,,,,,,,,,,,,,,,,,,,9.42,9,9,,,,,,44.011573,20.925031
A5H2PCSZ,2022-11-07T06:00:00.000Z,,15.93,26.28,,28.74,28.14,,87,,28.23,29.72,29,,31.22,28.37,,30.84,29.94,31,,3.52,3,4,,23.85,44.79,,,44.797027,20.528377
AC8QFXSV,2022-11-07T06:00:00.000Z,,0.73,3.02,,3.17,3.15,,14,,6.96,6.08,3,,4.95,3.2,,9.8,6.16,5,,11.6,11,12,,6.9,81.31,,,43.27359823,20.00230503
AHVMMMWN,2022-11-07T06:00:00.000Z,,46.23,76.71,,84.49,81.81,,165,,126.3,130.68,84,,110.54,82.82,,164.87,132.23,111,,9.92,9,10,,9.5,86.89,,,43.0671684,22.4085712
ABZ0QQ65,2022-11-07T06:00:00.000Z,,18.16,31.46,,30.88,33.38,,93,,31.53,34.78,31,,37.26,33.68,,37.51,35.05,37,,4.25,4,4,,24.4,41.77,,,44.664514,20.928384
A9YQLGCC,2022-11-07T06:00:00.000Z,,32.08,45.31,,57.25,48.71,,143,,46.07,41.1,57,,81.36,49.4,,61.16,41.51,81,,10.59,10,11,,11.23,85.36,,,42.5366089,20.2955676
A3QK8XR1,2022-11-07T06:00:00.000Z,,21.64,36.2,,38.97,38.69,,108,,33.04,36.08,39,,64.54,39.49,,48.58,36.54,65,,5.92,6,6,,21.74,49.01,,,44.010408,20.91121
A0VTV4M9,2022-11-07T06:00:00.000Z,,,,,,,,,,58.69,47.99,,,,,,82.5,48.68,,,,,,,,,,,44.010408,20.91121
AQVRLJYL,2022-11-07T06:00:00.000Z,,,,,,,,,,,,,,,,,,,,,6.69,6,7,,12.2,85.33,,,44.664514,20.928384
AY1R2WBZ,2022-11-07T06:00:00.000Z,,29.64,51.18,,49.55,54.32,,146,,81.47,102.9,50,,64.53,54.83,,100.18,103.94,65,,9.2,9,9,,18.6,51.91,,,43.0671684,22.4085712
A2027ZB9,2022-11-07T06:00:00.000Z,,35.38,48.29,,67.13,51.93,,154,,63.67,46.63,67,,97.21,52.87,,88.64,47.49,97,,15.8,15,16,,12.45,83.81,,,44.797027,20.528377
RV7PD1M1,2022-11-07T06:00:00.000Z,,,,,29.36,,,78,,24.1,,29,,29.89,,,24.69,,30,,,,,,,,,,44.664084,20.926729
RH91V0ZQ,2022-11-07T06:00:00.000Z,,,,,,,,,,,,,,,,,,,,,3.66,3,4,,,,,,44.652336,20.931675
RMQF0HMT,2022-11-07T06:00:00.000Z,,,,,27.99,,,78,,32.6,,28,,34.01,,,40.8,,34,,7.61,7,8,2.05,,,,,44.82112,20.459113
RQMLY1RN,2022-11-07T06:00:00.000Z,,,,,,,,,,,,,,,,,,,,,8.35,8,8,,,,,,44.011573,20.925031
RQCHFQWB,2022-11-07T06:00:00.000Z,,,,,25.13,,,73,,23.62,,25,,27.03,,,24.48,,27,,11.44,11,11,,,,,,44.798746,20.450184
RNVM05M6,2022-11-07T06:00:00.000Z,,,,,,,,,,,,,,,,,,,,,8.89,8,9,2.62,,,,,44.796959,20.475288
A5H2PCSZ,2022-11-07T05:00:00.000Z,,16.88,26.45,,29.25,28.49,,87,,28.13,29.74,29,,31.93,28.73,,30.71,29.95,32,,5.32,5,5,,23.28,45.52,,,44.797027,20.528377
AHVMMMWN,2022-11-07T05:00:00.000Z,,38.77,58.43,,69.62,62.65,,163,,126.4,130.83,70,,99.77,63.6,,165.07,132.38,100,,8.48,8,8,,9.57,86.71,,,43.0671684,22.4085712
AY1R2WBZ,2022-11-07T05:00:00.000Z,,31.86,56.95,,54.69,60.51,,152,,81.66,103.39,55,,72.59,61.23,,100.4,104.43,73,,9.67,9,10,,18.33,51.86,,,43.0671684,22.4085712
A2027ZB9,2022-11-07T05:00:00.000Z,,30.5,38.99,,61.59,42.15,,154,,63.53,46.42,62,,86,42.97,,88.19,47.26,86,,14.72,14,15,,12.37,83.26,,,44.797027,20.528377
AC8QFXSV,2022-11-07T05:00:00.000Z,,0.6,2.64,,2.32,2.75,,16,,6.88,6.02,2,,4.03,2.8,,9.66,6.09,4,,12.91,12,13,,7.31,82.45,,,43.27359823,20.00230503
ABZ0QQ65,2022-11-07T05:00:00.000Z,,17.4,30.33,,29.69,32.15,,93,,31.46,34.75,30,,34.24,32.42,,37.35,35.02,34,,6.31,6,6,,23.02,44.09,,,44.664514,20.928384
AQVRLJYL,2022-11-07T05:00:00.000Z,,,,,,,,,,,,,,,,,,,,,9.01,8,9,,11.46,87.99,,,44.664514,20.928384
A9YQLGCC,2022-11-07T05:00:00.000Z,,28.73,37.86,,52.11,40.75,,140,,45.36,40.45,52,,74.64,41.33,,59.93,40.84,75,,10.5,10,10,,10.95,85.78,,,42.5366089,20.2955676
A0VTV4M9,2022-11-07T05:00:00.000Z,,30.2,37.04,,57.2,39.91,,,,58.69,47.99,57,,92.71,40.81,,82.5,48.68,93,,17.01,16,17,,11.36,85.89,,,44.010408,20.91121
A3QK8XR1,2022-11-07T05:00:00.000Z,,20.23,33.08,,36.62,35.36,,106,,32.1,35.2,37,,60.23,36.05,,46.75,35.64,60,,5.26,5,5,,21.56,48.82,,,44.010408,20.91121
RH91V0ZQ,2022-11-07T05:00:00.000Z,,,,,,,,,,,,,,,,,,,,,4.19,4,4,,,,,,44.652336,20.931675
RQCHFQWB,2022-11-07T05:00:00.000Z,,,,,23.85,,,72,,23.5,,24,,25.4,,,24.29,,25,,10.6,10,11,,,,,,44.798746,20.450184
RV7PD1M1,2022-11-07T05:00:00.000Z,,,,,25.53,,,72,,23.7,,26,,25.83,,,24.27,,26,,,,,,,,,,44.664084,20.926729
RNVM05M6,2022-11-07T05:00:00.000Z,,,,,,,,,,,,,,,,,,,,,7.44,7,7,2.27,,,,,44.796959,20.475288
RMQF0HMT,2022-11-07T05:00:00.000Z,,,,,25.48,,,76,,32.48,,25,,29.68,,,40.8,,30,,6.69,6,7,1.83,,,,,44.82112,20.459113
RQMLY1RN,2022-11-07T05:00:00.000Z,,,,,,,,,,,,,,,,,,,,,8.35,8,8,,,,,,44.011573,20.925031
A5H2PCSZ,2022-11-07T04:00:00.000Z,,17.07,27.56,,30.72,29.7,,87,,28.09,29.8,31,,34.51,29.97,,30.63,30.01,35,,6.42,6,6,,22.74,46.19,,,44.797027,20.528377
AY1R2WBZ,2022-11-07T04:00:00.000Z,,32.9,59.98,,56.13,63.85,,154,,81.64,103.64,56,,75.35,64.57,,100.27,104.67,75,,8.33,8,8,,18.31,51.42,,,43.0671684,22.4085712
A0VTV4M9,2022-11-07T04:00:00.000Z,,,,,,,,,,55.68,45.45,,,,,,74.52,46.05,,,,,,,,,,,44.010408,20.91121
A3QK8XR1,2022-11-07T04:00:00.000Z,,20.65,33.64,,36.36,35.93,,108,,31.42,34.57,36,,59.04,36.6,,45.34,34.98,59,,5.45,5,5,,21.47,48.86,,,44.010408,20.91121
AHVMMMWN,2022-11-07T04:00:00.000Z,,52.27,87.02,,94.93,92.79,,168,,126.5,131.07,95,,130.4,93.96,,165.05,132.61,130,,9.74,9,10,,9.82,86.15,,,43.0671684,22.4085712
A2027ZB9,2022-11-07T04:00:00.000Z,,29.13,36.65,,60.86,39.71,,153,,63.46,46.45,61,,85.77,40.57,,87.97,47.29,86,,15.07,14,15,,12.36,83.37,,,44.797027,20.528377
A9YQLGCC,2022-11-07T04:00:00.000Z,,26.12,34.2,,49.56,36.9,,139,,45.14,40.39,50,,68.87,37.46,,59.38,40.78,69,,10.25,10,10,,11.02,85.46,,,42.5366089,20.2955676
AC8QFXSV,2022-11-07T04:00:00.000Z,,1.59,3.73,,3.35,3.84,,22,,6.86,5.99,3,,3.87,3.89,,9.62,6.07,4,,13.42,13,13,,7.63,82.79,,,43.27359823,20.00230503
AQVRLJYL,2022-11-07T04:00:00.000Z,,,,,,,,,,48.89,21.03,,,,,,86.88,21.44,,,8.34,8,8,,11.59,86.18,,,44.664514,20.928384
ABZ0QQ65,2022-11-07T04:00:00.000Z,,18.1,31.16,,30.42,33.14,,94,,31.47,34.8,30,,34.64,33.39,,37.33,35.07,35,,8.11,8,8,,21.8,46.32,,,44.664514,20.928384
RQCHFQWB,2022-11-07T04:00:00.000Z,,,,,20.89,,,71,,23.36,,21,,21.54,,,24.11,,22,,6.45,6,6,,,,,,44.798746,20.450184
RMQF0HMT,2022-11-07T04:00:00.000Z,,,,,22.6,,,74,,32.47,,23,,26.55,,,40.92,,27,,5.3,5,5,2.39,,,,,44.82112,20.459113
RH91V0ZQ,2022-11-07T04:00:00.000Z,,,,,,,,,,,,,,,,,,,,,3.7,3,4,,,,,,44.652336,20.931675
RNVM05M6,2022-11-07T04:00:00.000Z,,,,,,,,,,,,,,,,,,,,,6.33,6,6,2.54,,,,,44.796959,20.475288
RQMLY1RN,2022-11-07T04:00:00.000Z,,,,,,,,,,,,,,,,,,,,,8.28,8,8,,,,,,44.011573,20.925031
RV7PD1M1,2022-11-07T04:00:00.000Z,,,,,22.09,,,71,,23.43,,22,,22.7,,,23.99,,23,,,,,,,,,,44.664084,20.926729
A5H2PCSZ,2022-11-07T03:00:00.000Z,,17.48,28.13,,29.8,30.15,,87,,28.02,29.81,30,,32.9,30.39,,30.5,30.02,33,,6.36,6,6,,22.72,46.15,,,44.797027,20.528377
A0VTV4M9,2022-11-07T03:00:00.000Z,,,,,,,,,,55.68,45.45,,,,,,74.52,46.05,,,,,,,,,,,44.010408,20.91121
AQVRLJYL,2022-11-07T03:00:00.000Z,,,,,,,,,,48.89,21.03,,,,,,86.88,21.44,,,6.67,6,7,,11.7,84.73,,,44.664514,20.928384
ABZ0QQ65,2022-11-07T03:00:00.000Z,,18.84,33.05,,32.21,35.29,,95,,31.44,34.83,32,,39,35.6,,37.31,35.1,39,,12.96,12,13,,19.75,50.76,,,44.664514,20.928384
AY1R2WBZ,2022-11-07T03:00:00.000Z,,34.32,64.76,,58.44,68.98,,158,,81.64,103.97,58,,78.02,69.79,,100.16,105,78,,8.03,8,8,,18.34,51.25,,,43.0671684,22.4085712
