Device ID,Time [UTC+00:00],PM1 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM1 1-Hour Mean Mass Concentration Raw [ug/m3],PM1 1-Hour Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM2.5 1-Hour Mean Mass Concentration Raw [ug/m3],PM2.5 1-Hour Mean Number Concentration [#/cm3],PM2.5 NowCast Mass Concentration [ug/m3],PM2.5 NowCast AQI (US EPA),PM2.5 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM2.5 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM2.5 24-Hour Rolling Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean AQI (WA DWER),PM10 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM10 1-Hour Mean Mass Concentration Raw [ug/m3],PM10 1-Hour Mean Number Concentration [#/cm3],PM10 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM10 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM10 24-Hour Rolling Mean Number Concentration [#/cm3],PM10 1-Hour Mean AQI (WA DWER),NO2 1-Hour Mean Concentration Calibrated [ppb],NO2 1-Hour Mean Concentration Raw [ppb],NO2 1-Hour Mean AQI (US EPA),NO2 1-Hour Mean AQI (WA DWER),O3 1-Hour Mean Concentration Raw [ppb],Temperature Internal 1-Hour Mean [degC],Rel. Humidity Internal 1-Hour Mean [%],Wind Speed 1-Hour Mean [m/s],Wind Direction 1-Hour Mean [degrees],latitude,longitude
A5H2PCSZ,2022-11-06T03:00:00.000Z,,17.11,28.21,,27.3,29.83,,88,,33.21,39.47,27,,29.79,30,,37.92,39.71,30,,7.07,7,7,,22.63,46.72,,,44.797027,20.528377
A0VTV4M9,2022-11-06T03:00:00.000Z,,,,,,,,,,48.34,42.05,,,,,,61.54,42.53,,,,,,,,,,,44.010408,20.91121
AQVRLJYL,2022-11-06T03:00:00.000Z,,,,,,,,,,,,,,,,,,,,,7.76,7,8,,10.86,87.94,,,44.664514,20.928384
ABZ0QQ65,2022-11-06T03:00:00.000Z,,19.12,33.65,,31.05,35.65,,94,,35.79,45.81,31,,36,35.9,,43.32,46.09,36,,12.95,12,13,,20.28,49.98,,,44.664514,20.928384
AY1R2WBZ,2022-11-06T03:00:00.000Z,,38.41,80.89,,62.54,85.34,,157,,60.26,79.71,63,,80.47,86.06,,75.13,80.36,80,,2.76,3,3,,18.93,45.7,,,43.0671684,22.4085712
A3QK8XR1,2022-11-06T03:00:00.000Z,,14.18,22.9,,24.4,24.42,,72,,30,34.26,24,,31.03,24.62,,40.13,34.54,31,,4.76,4,5,,20.97,48.4,,,44.010408,20.91121
AC8QFXSV,2022-11-06T03:00:00.000Z,,0.15,1.71,,1.51,1.76,,6,,4.82,4.52,2,,2,1.8,,6.66,4.59,2,,15.08,14,15,,5.88,82.89,,,43.27359823,20.00230503
AHVMMMWN,2022-11-06T03:00:00.000Z,,41.62,60.93,,68.73,64.53,,166,,81.66,87.4,69,,94.71,65.22,,104.66,88.27,95,,9.5,9,10,,8.1,74.86,,,43.0671684,22.4085712
A9YQLGCC,2022-11-06T03:00:00.000Z,,24.36,31.54,,42.11,33.73,,136,,39.39,37.6,42,,56.19,34.1,,53.19,38,56,,10.77,10,11,,11.51,82.34,,,42.5366089,20.2955676
A2027ZB9,2022-11-06T03:00:00.000Z,,40.31,58.32,,71.03,62.24,,159,,65.07,52.93,71,,96.27,63.06,,84.78,53.66,96,,18.85,18,19,,12.02,83.94,,,44.797027,20.528377
RQCHFQWB,2022-11-06T03:00:00.000Z,,,,,21.02,,,73,,22.95,,21,,21.46,,,23.66,,21,,8.21,8,8,,,,,,44.798746,20.450184
RQMLY1RN,2022-11-06T03:00:00.000Z,,,,,,,,,,,,,,,,,,,,,5.35,5,5,,,,,,44.011573,20.925031
RMQF0HMT,2022-11-06T03:00:00.000Z,,,,,24.44,,,78,,25.61,,24,,30.71,,,30.31,,31,,4.12,4,4,8.7,,,,,44.82112,20.459113
RV7PD1M1,2022-11-06T03:00:00.000Z,,,,,14.92,,,61,,23.97,,15,,15.1,,,25.71,,15,,,,,,,,,,44.664084,20.926729
RNVM05M6,2022-11-06T03:00:00.000Z,,,,,,,,,,,,,,,,,,,,,6.27,6,6,10.85,,,,,44.796959,20.475288
RH91V0ZQ,2022-11-06T03:00:00.000Z,,,,,,,,,,,,,,,,,,,,,3.89,4,4,,,,,,44.652336,20.931675
A5H2PCSZ,2022-11-06T02:00:00.000Z,,17.21,27.83,,28.08,29.44,,89,,33.81,40.42,28,,29.58,29.63,,38.79,40.67,30,,6.17,6,6,,22.91,46.33,,,44.797027,20.528377
AQVRLJYL,2022-11-06T02:00:00.000Z,,,,,,,,,,,,,,,,,,,,,8,8,8,,10.86,87.89,,,44.664514,20.928384
A9YQLGCC,2022-11-06T02:00:00.000Z,,28.64,38.4,,50.7,41.19,,143,,38.79,37.17,51,,69.18,41.73,,52.35,37.55,69,,10.87,10,11,,11.44,83.58,,,42.5366089,20.2955676
A2027ZB9,2022-11-06T02:00:00.000Z,,44.67,67.47,,88.91,72.75,,159,,64.98,53.28,89,,121,73.94,,84.55,54.01,121,,17.13,16,17,,12.04,83.5,,,44.797027,20.528377
A0VTV4M9,2022-11-06T02:00:00.000Z,,24.42,30.02,,51.16,32.31,,,,48.34,42.05,51,,70.53,32.97,,61.54,42.53,71,,15.79,15,16,,11.2,81.2,,,44.010408,20.91121
ABZ0QQ65,2022-11-06T02:00:00.000Z,,18.94,34,,31.98,36.13,,96,,36.22,46.72,32,,37.51,36.4,,43.94,47,38,,13.49,13,13,,20.34,49.85,,,44.664514,20.928384
AHVMMMWN,2022-11-06T02:00:00.000Z,,54.84,95.87,,97.89,101.68,,174,,81.75,87.57,98,,127.62,102.83,,104.76,88.43,128,,9.88,9,10,,8.79,72.65,,,43.0671684,22.4085712
AY1R2WBZ,2022-11-06T02:00:00.000Z,,40.7,89.41,,68.85,94.33,,160,,60.18,79.73,69,,85.01,95.16,,75.08,80.39,85,,3.22,3,3,,18.99,45.84,,,43.0671684,22.4085712
AC8QFXSV,2022-11-06T02:00:00.000Z,,0.08,1.54,,1.31,1.58,,5,,4.82,4.54,1,,1.68,1.61,,6.68,4.61,2,,15.14,14,15,,5.85,82.64,,,43.27359823,20.00230503
A3QK8XR1,2022-11-06T02:00:00.000Z,,14.06,23.15,,24.19,24.55,,71,,30.48,34.9,24,,32.57,24.81,,40.92,35.19,33,,4.97,5,5,,21.04,48.2,,,44.010408,20.91121
RV7PD1M1,2022-11-06T02:00:00.000Z,,,,,16.51,,,64,,24.28,,17,,16.64,,,26.13,,17,,,,,,,,,,44.664084,20.926729
RNVM05M6,2022-11-06T02:00:00.000Z,,,,,,,,,,,,,,,,,,,,,6.71,6,7,11.91,,,,,44.796959,20.475288
RMQF0HMT,2022-11-06T02:00:00.000Z,,,,,25.17,,,78,,26.09,,25,,31.92,,,30.71,,32,,4.96,5,5,8.09,,,,,44.82112,20.459113
RQMLY1RN,2022-11-06T02:00:00.000Z,,,,,,,,,,,,,,,,,,,,,4.79,5,5,,,,,,44.011573,20.925031
RQCHFQWB,2022-11-06T02:00:00.000Z,,,,,21.87,,,74,,23.27,,22,,22.28,,,23.99,,22,,8.26,8,8,,,,,,44.798746,20.450184
RH91V0ZQ,2022-11-06T02:00:00.000Z,,,,,,,,,,,,,,,,,,,,,3.93,4,4,,,,,,44.652336,20.931675
A5H2PCSZ,2022-11-06T01:00:00.000Z,,17.73,29.18,,28.43,30.92,,90,,34.45,41.5,28,,30.87,31.11,,39.77,41.76,31,,6.45,6,6,,23.26,45.94,,,44.797027,20.528377
A9YQLGCC,2022-11-06T01:00:00.000Z,,29.19,40.1,,51.01,42.99,,143,,37.6,36.24,51,,68.36,43.48,,50.74,36.61,68,,12.34,12,12,,11.74,82.62,,,42.5366089,20.2955676
AC8QFXSV,2022-11-06T01:00:00.000Z,,0.05,1.4,,1.32,1.45,,5,,4.83,4.55,1,,1.61,1.49,,6.69,4.62,2,,14.57,14,15,,5.94,82.19,,,43.27359823,20.00230503
A3QK8XR1,2022-11-06T01:00:00.000Z,,12.11,20.1,,20.51,21.29,,66,,30.88,35.37,21,,28.19,21.5,,41.45,35.66,28,,4.18,4,4,,21.13,47.87,,,44.010408,20.91121
AQVRLJYL,2022-11-06T01:00:00.000Z,,,,,,,,,,,,,,,,,,,,,7.85,7,8,,10.84,86.81,,,44.664514,20.928384
A2027ZB9,2022-11-06T01:00:00.000Z,,27.53,33.81,,53.86,36.22,,153,,63.46,52.15,54,,68.94,36.78,,82.33,52.85,69,,18.91,18,19,,11.98,83.6,,,44.797027,20.528377
AY1R2WBZ,2022-11-06T01:00:00.000Z,,44.64,98.05,,75.99,103.45,,162,,60.24,79.96,76,,90.4,104.39,,75.09,80.61,90,,3.53,3,4,,19.04,45.96,,,43.0671684,22.4085712
A0VTV4M9,2022-11-06T01:00:00.000Z,,,,,,,,,,54.19,53.02,,,,,,67.44,53.57,,,,,,,,,,,44.010408,20.91121
AHVMMMWN,2022-11-06T01:00:00.000Z,,55.44,97.07,,98.04,102.94,,175,,81.47,87.22,98,,129.99,104.07,,104.5,88.08,130,,8.75,8,9,,9.58,70.85,,,43.0671684,22.4085712
ABZ0QQ65,2022-11-06T01:00:00.000Z,,19.74,35.02,,32.47,37.29,,96,,36.61,47.66,32,,37.64,37.53,,44.52,47.94,38,,13.43,13,13,,20.41,49.76,,,44.664514,20.928384
RH91V0ZQ,2022-11-06T01:00:00.000Z,,,,,,,,,,,,,,,,,,,,,4.54,4,5,,,,,,44.652336,20.931675
RQMLY1RN,2022-11-06T01:00:00.000Z,,,,,,,,,,,,,,,,,,,,,5.02,5,5,,,,,,44.011573,20.925031
RV7PD1M1,2022-11-06T01:00:00.000Z,,,,,17.96,,,68,,24.4,,18,,18.16,,,26.36,,18,,,,,,,,,,44.664084,20.926729
RMQF0HMT,2022-11-06T01:00:00.000Z,,,,,24.02,,,78,,26.77,,24,,28.19,,,31.42,,28,,5.55,5,6,6.81,,,,,44.82112,20.459113
RNVM05M6,2022-11-06T01:00:00.000Z,,,,,,,,,,,,,,,,,,,,,7.98,8,8,9.15,,,,,44.796959,20.475288
RQCHFQWB,2022-11-06T01:00:00.000Z,,,,,21.71,,,72,,23.84,,22,,22.16,,,24.61,,22,,8.7,8,9,,,,,,44.798746,20.450184
A5H2PCSZ,2022-11-06T00:00:00.000Z,,18.54,30.56,,29.87,32.32,,92,,35.12,42.65,30,,32.41,32.55,,40.73,42.92,32,,5.2,5,5,,23.74,45.36,,,44.797027,20.528377
AC8QFXSV,2022-11-06T00:00:00.000Z,,0,0.95,,0.77,0.97,,5,,4.88,4.6,1,,1.23,1,,6.74,4.66,1,,14.78,14,15,,5.97,82.22,,,43.27359823,20.00230503
AHVMMMWN,2022-11-06T00:00:00.000Z,,54.65,96.76,,98.04,102.58,,178,,81.54,87,98,,128.26,103.71,,104.51,87.86,128,,8.57,8,9,,10.04,69.56,,,43.0671684,22.4085712
ABZ0QQ65,2022-11-06T00:00:00.000Z,,20.29,36.41,,33.23,38.61,,97,,37.03,48.69,33,,38.83,38.87,,45.17,48.98,39,,13.43,13,13,,20.47,49.67,,,44.664514,20.928384
A9YQLGCC,2022-11-06T00:00:00.000Z,,30.77,44.23,,52.96,47.36,,146,,36.41,35.25,53,,72.01,47.9,,49.16,35.6,72,,11.32,11,11,,12.24,80.75,,,42.5366089,20.2955676
A3QK8XR1,2022-11-06T00:00:00.000Z,,11.13,18.66,,17.83,19.68,,63,,31.24,35.8,18,,23.12,19.84,,41.91,36.09,23,,4.94,5,5,,21.23,47.6,,,44.010408,20.91121
A0VTV4M9,2022-11-06T00:00:00.000Z,,,,,,,,,,54.19,53.02,,,,,,67.44,53.57,,,,,,,,,,,44.010408,20.91121
AQVRLJYL,2022-11-06T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,8.85,8,9,,10.95,86.17,,,44.664514,20.928384
AY1R2WBZ,2022-11-06T00:00:00.000Z,,46.5,102.75,,78.17,108.43,,162,,60.16,79.96,78,,90.25,109.29,,74.94,80.61,90,,3.56,3,4,,19.09,45.98,,,43.0671684,22.4085712
A2027ZB9,2022-11-06T00:00:00.000Z,,28.58,34.72,,56.24,37.44,,154,,63.39,52.61,56,,75.25,38.06,,82.21,53.3,75,,18.13,17,18,,12,82.98,,,44.797027,20.528377
RQCHFQWB,2022-11-06T00:00:00.000Z,,,,,20.38,,,74,,24.16,,20,,20.77,,,25.02,,21,,8.42,8,8,,,,,,44.798746,20.450184
RV7PD1M1,2022-11-06T00:00:00.000Z,,,,,21.35,,,73,,24.69,,21,,21.8,,,26.74,,22,,,,,,,,,,44.664084,20.926729
RQMLY1RN,2022-11-06T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,5.77,5,6,,,,,,44.011573,20.925031
RH91V0ZQ,2022-11-06T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,4.63,4,5,,,,,,44.652336,20.931675
RNVM05M6,2022-11-06T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,7.34,7,7,9.42,,,,,44.796959,20.475288
RMQF0HMT,2022-11-06T00:00:00.000Z,,,,,21.85,,,79,,27.29,,22,,25.76,,,32.25,,26,,7.32,7,7,4.86,,,,,44.82112,20.459113
A5H2PCSZ,2022-11-05T23:00:00.000Z,,19.18,31.53,,30.09,33.31,,93,,35.8,43.88,30,,32.46,33.52,,41.75,44.15,32,,4.21,4,4,,24.29,44.71,,,44.797027,20.528377
AHVMMMWN,2022-11-05T23:00:00.000Z,,61.27,112.09,,108.29,118.5,,182,,81.52,86.94,108,,136.22,119.79,,104.59,87.8,136,,8.55,8,9,,10.17,68.67,,,43.0671684,22.4085712
AY1R2WBZ,2022-11-05T23:00:00.000Z,,50.46,110.77,,84.5,116.87,,161,,60.48,80.52,84,,97.95,117.88,,75.36,81.18,98,,3.23,3,3,,19.12,45.92,,,43.0671684,22.4085712
A2027ZB9,2022-11-05T23:00:00.000Z,,33.3,43.53,,65.67,47.02,,155,,63.19,52.96,66,,89.5,47.89,,81.85,53.65,90,,19.17,18,19,,12.07,82.99,,,44.797027,20.528377
AC8QFXSV,2022-11-05T23:00:00.000Z,,0.01,1.4,,1.21,1.43,,7,,4.88,4.61,1,,1.56,1.47,,6.73,4.67,2,,15.68,15,16,,5.98,82.64,,,43.27359823,20.00230503
ABZ0QQ65,2022-11-05T23:00:00.000Z,,20.4,36.52,,33.06,38.68,,98,,37.47,49.7,33,,39.09,38.92,,45.85,50,39,,13.06,12,13,,20.56,49.61,,,44.664514,20.928384
AQVRLJYL,2022-11-05T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,8.67,8,9,,11.05,85.17,,,44.664514,20.928384
A9YQLGCC,2022-11-05T23:00:00.000Z,,30.71,44.95,,52.88,48.04,,148,,35.21,34.12,53,,71.3,48.59,,47.54,34.46,71,,10.41,10,10,,12.87,78.41,,,42.5366089,20.2955676
A0VTV4M9,2022-11-05T23:00:00.000Z,,,,,,,,,,54.19,53.02,,,,,,67.44,53.57,,,,,,,,,,,44.010408,20.91121
A3QK8XR1,2022-11-05T23:00:00.000Z,,11.43,19.28,,18.1,20.31,,63,,31.61,36.18,18,,23.63,20.45,,42.5,36.48,24,,4.43,4,4,,21.41,47.38,,,44.010408,20.91121
RNVM05M6,2022-11-05T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,7.98,8,8,8.93,,,,,44.796959,20.475288
RMQF0HMT,2022-11-05T23:00:00.000Z,,,,,26.97,,,84,,27.77,,27,,36.53,,,33.02,,37,,7.67,7,8,6.27,,,,,44.82112,20.459113
RQMLY1RN,2022-11-05T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,5.44,5,5,,,,,,44.011573,20.925031
RH91V0ZQ,2022-11-05T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,5.65,5,6,,,,,,44.652336,20.931675
RQCHFQWB,2022-11-05T23:00:00.000Z,,,,,24.19,,,79,,24.48,,24,,25.13,,,25.44,,25,,8.63,8,9,,,,,,44.798746,20.450184
RV7PD1M1,2022-11-05T23:00:00.000Z,,,,,25.3,,,76,,24.76,,25,,25.71,,,26.93,,26,,,,,,,,,,44.664084,20.926729
A5H2PCSZ,2022-11-05T22:00:00.000Z,,19.22,32.55,,30.13,34.36,,95,,36.5,45.16,30,,32.78,34.57,,42.83,45.44,33,,2.34,2,2,,24.91,44.02,,,44.797027,20.528377
AY1R2WBZ,2022-11-05T22:00:00.000Z,,44.34,97.89,,73.53,103.01,,155,,61.34,81.87,74,,87.46,103.89,,76.49,82.54,87,,3.53,3,4,,19.16,46,,,43.0671684,22.4085712
A0VTV4M9,2022-11-05T22:00:00.000Z,,16.83,20.88,,34.94,22.26,,,,54.19,53.02,35,,40.36,22.59,,67.44,53.57,40,,16.47,16,16,,11.05,79.19,,,44.010408,20.91121
A3QK8XR1,2022-11-05T22:00:00.000Z,,10,17.04,,15.86,18.03,,62,,32.04,36.62,16,,21.08,18.16,,43.12,36.92,21,,4.2,4,4,,21.64,46.84,,,44.010408,20.91121
AHVMMMWN,2022-11-05T22:00:00.000Z,,75.24,131.64,,133.59,139.29,,187,,79.88,84.88,134,,173.07,140.8,,102.7,85.72,173,,8.59,8,9,,10.17,68.2,,,43.0671684,22.4085712
A2027ZB9,2022-11-05T22:00:00.000Z,,34.15,45.03,,67.03,48.64,,155,,62.62,52.99,67,,91.81,49.55,,80.9,53.66,92,,19.87,19,20,,12.02,82.83,,,44.797027,20.528377
A9YQLGCC,2022-11-05T22:00:00.000Z,,34.62,53.56,,57.89,57.2,,152,,34.21,33.13,58,,78.3,57.79,,46.24,33.47,78,,11.18,11,11,,12.83,78.71,,,42.5366089,20.2955676
AC8QFXSV,2022-11-05T22:00:00.000Z,,0,0.98,,1.04,1.01,,10,,4.9,4.63,1,,1.33,1.04,,6.79,4.7,1,,16.92,16,17,,6.39,82.13,,,43.27359823,20.00230503
AQVRLJYL,2022-11-05T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,8.22,8,8,,11.03,84.8,,,44.664514,20.928384
ABZ0QQ65,2022-11-05T22:00:00.000Z,,20.35,36.74,,32.88,38.88,,98,,37.9,50.74,33,,38.82,39.12,,46.5,51.04,39,,13.63,13,14,,20.65,49.53,,,44.664514,20.928384
RH91V0ZQ,2022-11-05T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,5.74,5,6,,,,,,44.652336,20.931675
RMQF0HMT,2022-11-05T22:00:00.000Z,,,,,30.28,,,85,,27.73,,30,,37.14,,,33.06,,37,,7.31,7,7,7.82,,,,,44.82112,20.459113
RQMLY1RN,2022-11-05T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,8.17,8,8,,,,,,44.011573,20.925031
RNVM05M6,2022-11-05T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,11.52,11,12,5.2,,,,,44.796959,20.475288
RV7PD1M1,2022-11-05T22:00:00.000Z,,,,,23.53,,,73,,24.63,,24,,23.63,,,26.93,,24,,,,,,,,,,44.664084,20.926729
RQCHFQWB,2022-11-05T22:00:00.000Z,,,,,27.1,,,81,,24.31,,27,,28.74,,,25.52,,29,,10.65,10,11,,,,,,44.798746,20.450184
A5H2PCSZ,2022-11-05T21:00:00.000Z,,20.32,34.81,,31.19,36.76,,96,,37.22,46.52,31,,34.6,36.98,,43.93,46.82,35,,1.26,1,1,,25.47,43.57,,,44.797027,20.528377
A0VTV4M9,2022-11-05T21:00:00.000Z,,,,,,,,,,54.3,54.18,,,,,,67.41,54.72,,,,,,,,,,,44.010408,20.91121
AQVRLJYL,2022-11-05T21:00:00.000Z,,,,,,,,,,,,,,,,,,,,,9,8,9,,10.91,85.4,,,44.664514,20.928384
ABZ0QQ65,2022-11-05T21:00:00.000Z,,20.67,37.64,,32.86,39.81,,99,,38.39,51.87,33,,38.94,40.04,,47.24,52.18,39,,14.06,13,14,,20.77,49.41,,,44.664514,20.928384
AY1R2WBZ,2022-11-05T21:00:00.000Z,,43.58,96.45,,72.17,101.52,,152,,63.25,84.63,72,,86.8,102.37,,78.71,85.32,87,,3.37,3,3,,19.2,46.03,,,43.0671684,22.4085712
A3QK8XR1,2022-11-05T21:00:00.000Z,,11.52,19.22,,17.31,20.22,,66,,32.71,37.27,17,,22.89,20.36,,44.03,37.58,23,,3.27,3,3,,21.85,46.73,,,44.010408,20.91121
AC8QFXSV,2022-11-05T21:00:00.000Z,,0.15,1.87,,1.48,1.93,,15,,5.12,4.83,1,,2.19,1.96,,7.12,4.9,2,,18.32,17,18,,6.89,81.22,,,43.27359823,20.00230503
AHVMMMWN,2022-11-05T21:00:00.000Z,,72.35,125.39,,123.52,132.34,,182,,81.35,86.74,124,,154.7,133.68,,104.62,87.61,155,,10.06,9,10,,9.87,68.94,,,43.0671684,22.4085712
A9YQLGCC,2022-11-05T21:00:00.000Z,,33.25,49.81,,56.91,53.27,,149,,33.11,31.9,57,,75.8,53.84,,44.72,32.22,76,,11.61,11,12,,12.54,79.37,,,42.5366089,20.2955676
A2027ZB9,2022-11-05T21:00:00.000Z,,33.32,43.2,,63.4,46.5,,154,,62.29,53.38,63,,86.89,47.29,,80.28,54.04,87,,18.97,18,19,,12.02,82.4,,,44.797027,20.528377
RNVM05M6,2022-11-05T21:00:00.000Z,,,,,,,,,,,,,,,,,,,,,10.61,10,11,9.31,,,,,44.796959,20.475288
RQMLY1RN,2022-11-05T21:00:00.000Z,,,,,,,,,,,,,,,,,,,,,8.21,8,8,,,,,,44.011573,20.925031
RMQF0HMT,2022-11-05T21:00:00.000Z,,,,,29.98,,,82,,27.64,,30,,36.54,,,33.06,,37,,7.23,7,7,8.76,,,,,44.82112,20.459113
RH91V0ZQ,2022-11-05T21:00:00.000Z,,,,,,,,,,,,,,,,,,,,,6.4,6,6,,,,,,44.652336,20.931675
RQCHFQWB,2022-11-05T21:00:00.000Z,,,,,26.47,,,79,,24.08,,26,,27.62,,,25.32,,28,,11.22,11,11,,,,,,44.798746,20.450184
RV7PD1M1,2022-11-05T21:00:00.000Z,,,,,21.63,,,70,,24.71,,22,,22.16,,,27.13,,22,,,,,,,,,,44.664084,20.926729
A5H2PCSZ,2022-11-05T20:00:00.000Z,,21.25,37.58,,33.04,39.8,,97,,37.95,47.91,33,,37.07,40,,45.07,48.22,37,,0.24,0,0,,25.69,43.55,,,44.797027,20.528377
AQVRLJYL,2022-11-05T20:00:00.000Z,,,,,,,,,,79.76,35.92,,,,,,128.71,36.55,,,9.28,9,9,,10.84,85.83,,,44.664514,20.928384
A9YQLGCC,2022-11-05T20:00:00.000Z,,32.49,48.36,,54.45,51.68,,144,,32.26,31.02,54,,74.08,52.24,,43.52,31.32,74,,12.87,12,13,,12.59,79.63,,,42.5366089,20.2955676
A2027ZB9,2022-11-05T20:00:00.000Z,,31.19,39.74,,58.82,42.56,,153,,62.08,53.84,59,,75.88,43.14,,79.82,54.48,76,,18.32,17,18,,12.01,81.5,,,44.797027,20.528377
A0VTV4M9,2022-11-05T20:00:00.000Z,,,,,,,,,,54.3,54.18,,,,,,67.41,54.72,,,,,,,,,,,44.010408,20.91121
ABZ0QQ65,2022-11-05T20:00:00.000Z,,20.67,38.34,,32.92,40.51,,101,,38.88,53,33,,38.78,40.72,,47.97,53.32,39,,14.23,13,14,,20.9,49.31,,,44.664514,20.928384
AHVMMMWN,2022-11-05T20:00:00.000Z,,87.26,153.79,,149.16,162.57,,177,,85.75,91.92,149,,189.09,164.14,,110.47,92.84,189,,11.23,11,11,,10.1,67.78,,,43.0671684,22.4085712
AY1R2WBZ,2022-11-05T20:00:00.000Z,,32.33,61.73,,51.54,64.99,,136,,64.81,86.91,52,,65.56,65.48,,80.4,87.63,66,,2.99,3,3,,19.25,46.13,,,43.0671684,22.4085712
AC8QFXSV,2022-11-05T20:00:00.000Z,,1.14,3.34,,3.51,3.46,,23,,5.42,5.06,4,,4.79,3.51,,7.5,5.14,5,,18.63,18,19,,7.6,79.79,,,43.27359823,20.00230503
A3QK8XR1,2022-11-05T20:00:00.000Z,,13.99,22.47,,20.58,23.65,,70,,33.49,38.12,21,,25.63,23.78,,45.18,38.44,26,,3.89,4,4,,21.91,47.19,,,44.010408,20.91121
RH91V0ZQ,2022-11-05T20:00:00.000Z,,,,,,,,,,,,,,,,,,,,,6.73,6,7,,,,,,44.652336,20.931675
RQCHFQWB,2022-11-05T20:00:00.000Z,,,,,24.56,,,78,,24.17,,25,,25.19,,,25.47,,25,,13.51,13,14,,,,,,44.798746,20.450184
RMQF0HMT,2022-11-05T20:00:00.000Z,,,,,26.49,,,77,,27.71,,26,,30.55,,,33.26,,31,,8.75,8,9,7.72,,,,,44.82112,20.459113
RV7PD1M1,2022-11-05T20:00:00.000Z,,,,,21.85,,,70,,25,,22,,22.27,,,27.54,,22,,,,,,,,,,44.664084,20.926729
RNVM05M6,2022-11-05T20:00:00.000Z,,,,,,,,,,,,,,,,,,,,,12.36,12,12,7.65,,,,,44.796959,20.475288
RQMLY1RN,2022-11-05T20:00:00.000Z,,,,,,,,,,,,,,,,,,,,,8.63,8,9,,,,,,44.011573,20.925031
